City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
VALLEY VILLAGE,CA,91607,45.3,90.6,4.900881057,444.0198238,142.0863436,586.1061674
LAGUNA NIGUEL,CA,92607,45.7,91.4,4.847494553,443.0610022,141.7795207,584.8405229
ENCINO,CA,91316,46,92,4.836956522,445,142.4,587.4
SOUTH GATE,CA,90280,46,92,4.836956522,445,142.4,587.4
WEST HILLS,CA,91307,46.4,92.8,4.784946237,444.0430108,142.0937634,586.1367742
FRESNO,CA,93706,46.7,93.4,4.784946237,446.9139785,143.0124731,589.9264516
PASADENA,CA,91109,46.8,93.6,4.784946237,447.8709677,143.3187097,591.1896774
WINNETKA,CA,91306,47.3,94.6,4.713983051,445.9427966,142.7016949,588.6444915
LOS ANGELES,CA,90059,47.6,95.2,4.713983051,448.7711864,143.6067797,592.3779661
BALDWIN PARK,CA,91706,48,96,4.625779626,444.0748441,142.1039501,586.1787942
MARKLEEVILLE,CA,96120,48.4,96.8,4.5781893,443.1687243,141.8139918,584.982716
CANOGA PARK,CA,91304,49.1,98.2,4.568788501,448.6550308,143.5696099,592.2246407
TUJUNGA,CA,91042,49.4,98.8,4.485887097,443.2056452,141.8258065,585.0314516
GRIMES,CA,95950,49.4,98.8,4.485887097,443.2056452,141.8258065,585.0314516
AGOURA HILLS,CA,91301,49.5,99,4.485887097,444.1028226,142.1129032,586.2157258
GRANADA HILLS,CA,91344,49.9,99.8,4.458917836,445,142.4,587.4
PAYNES CREEK,CA,96075,49.9,99.8,4.458917836,445,142.4,587.4
SHINGLETOWN,CA,96088,49.9,99.8,4.458917836,445,142.4,587.4
WINCHESTER,CA,92596,50.2,100.4,4.458917836,447.6753507,143.2561122,590.9314629
VAN NUYS,CA,91401,51.1,102.2,4.549902153,465,148.8,613.8
LOS ANGELES,CA,90031,51.5,103,4.505813953,464.0988372,148.5116279,612.6104651
VALENCIA,CA,91355,51.6,103.2,4.505813953,465,148.8,613.8
COMMERCE,CA,90040,52.7,105.4,4.420152091,465.8840304,149.0828897,614.9669202
DENAIR,CA,95316,53,106,4.420152091,468.5361217,149.9315589,618.4676806
ONTARIO,CA,91762,53,106,4.420152091,468.5361217,149.9315589,618.4676806
SAN CLEMENTE,CA,92674,53.2,106.4,4.353932584,463.258427,148.2426966,611.5011236
SANTA ANA,CA,92704,53.3,106.6,4.353932584,464.1292135,148.5213483,612.6505618
OROVILLE,CA,95965,53.6,107.2,4.329608939,464.1340782,148.522905,612.6569832
SAN FERNANDO,CA,91340,54.3,108.6,4.313543599,468.4508349,149.9042672,618.355102
SAN PEDRO,CA,90731,54.5,109,4.250457038,463.2998172,148.2559415,611.5557587
VERDUGO CITY,CA,91046,55.2,110.4,4.279279279,472.4324324,151.1783784,623.6108108
RANCHO SANTA MARGARITA,CA,92688,55.2,110.4,4.279279279,472.4324324,151.1783784,623.6108108
WOODLAND HILLS,CA,91367,55.3,110.6,4.279279279,473.2882883,151.4522523,624.7405405
FOREST RANCH,CA,95942,55.4,110.8,4.279279279,474.1441441,151.7261261,625.8702703
ONTARIO,CA,91761,55.4,110.8,4.279279279,474.1441441,151.7261261,625.8702703
SANTA ANA,CA,92706,55.5,111,4.279279279,475,152,627
PACOIMA,CA,91331,55.6,111.2,4.279279279,475.8558559,152.2738739,628.1297297
SAN CLEMENTE,CA,92674,55.7,111.4,4.279279279,476.7117117,152.5477477,629.2594595
NORTH HOLLYWOOD,CA,91606,55.8,111.6,4.279279279,477.5675676,152.8216216,630.3891892
SANTA FE SPRINGS,CA,90670,56,112,4.225978648,473.3096085,151.4590747,624.7686833
